hi_rank,lo_rank,is_pair,is_suited,is_connector,is_broadway,position,stack_bb,push_label
8,7,0,0,1,0,SB,6,1
13,3,0,0,0,0,SB,9,1
10,5,0,0,0,0,BB,60,0
10,5,0,1,0,0,SB,40,0
9,3,0,0,0,0,BTN,9,0
7,4,0,0,0,0,UTG,20,0
13,4,0,0,0,0,CO,12,0
5,4,0,1,1,0,CO,100,0
12,4,0,0,0,0,MP,60,0
12,6,0,0,0,0,CO,8,0
13,12,0,1,1,1,BB,6,0
4,3,0,0,1,0,UTG,30,0
10,4,0,0,0,0,MP,10,0
10,2,0,0,0,0,CO,25,0
10,5,0,0,0,0,SB,60,0
6,2,0,0,0,0,SB,40,0
14,11,0,0,0,1,SB,15,1
14,3,0,0,0,0,BB,10,0
10,7,0,0,0,0,BTN,10,0
11,9,0,0,0,0,SB,30,0
13,11,0,0,0,1,MP,5,0
4,3,0,0,1,0,UTG,40,0
3,2,0,1,1,0,MP,9,0
11,8,0,0,0,0,BB,12,0
7,4,0,0,0,0,BTN,60,0
6,5,0,0,1,0,UTG,6,0
12,11,0,1,1,1,SB,40,1
9,8,0,0,1,0,BTN,40,0
10,7,0,0,0,0,CO,12,0
13,9,0,0,0,0,SB,30,0
7,2,0,0,0,0,CO,6,0
12,9,0,0,0,0,BTN,9,1
14,6,0,0,0,0,BB,100,0
14,12,0,1,0,1,CO,5,0
10,4,0,0,0,0,BTN,5,0
12,11,0,0,1,1,BTN,10,1
12,11,0,1,1,1,BB,8,0
10,5,0,0,0,0,BB,6,0
8,6,0,1,0,0,BB,15,0
4,3,0,0,1,0,BB,7,0
11,6,0,0,0,0,UTG,5,0
14,13,0,0,1,1,SB,8,1
8,5,0,1,0,0,SB,9,1
8,8,1,0,0,0,UTG,9,0
9,2,0,0,0,0,MP,8,0
10,5,0,0,0,0,UTG,7,0
12,9,0,0,0,0,UTG,80,0
4,3,0,0,1,0,CO,10,0
5,3,0,0,0,0,SB,25,0
11,7,0,0,0,0,BB,4,0
9,9,1,0,0,0,UTG,40,0
14,6,0,1,0,0,BB,4,0
4,3,0,0,1,0,CO,60,0
9,3,0,0,0,0,UTG,7,0
12,2,0,0,0,0,CO,12,0
13,10,0,0,0,1,BTN,60,1
7,6,0,0,1,0,UTG,7,0
14,13,0,0,1,1,BTN,100,1
9,9,1,0,0,0,BTN,20,1
11,6,0,1,0,0,BTN,5,1
5,4,0,0,1,0,UTG,7,0
8,5,0,0,0,0,MP,60,0
10,3,0,0,0,0,CO,80,0
13,6,0,0,0,0,CO,5,0
10,8,0,1,0,0,UTG,30,0
10,6,0,0,0,0,SB,40,0
10,6,0,0,0,0,CO,6,0
13,6,0,0,0,0,MP,100,0
6,3,0,0,0,0,MP,100,0
11,5,0,1,0,0,BTN,80,0
5,3,0,1,0,0,MP,4,0
14,2,0,0,1,0,BTN,60,0
13,8,0,0,0,0,MP,8,0
13,2,0,0,0,0,SB,5,1
10,6,0,0,0,0,SB,25,0
12,4,0,1,0,0,BB,7,0
7,4,0,1,0,0,BTN,12,1
14,7,0,0,0,0,MP,4,0
7,5,0,0,0,0,CO,8,0
10,6,0,0,0,0,CO,4,0
8,5,0,0,0,0,BB,30,0
4,3,0,0,1,0,BTN,40,0
10,8,0,0,0,0,MP,8,0
